bvn,state_of_origin,state_of_residence,local_government_area,source_of_income
20000065184,Ebonyi,Ogun,Ijebu Ode,Business
20000065185,Taraba,Katsina,Katsina,Freelancing
20000065186,Ogun,Borno,Maiduguri,Business
20000065187,Gombe,Kaduna,Zaria,Business
20000065188,Abia,Ekiti,Ikere,Salary
20000065189,Nasarawa,Zamfara,Gusau,Business
20000065190,Adamawa,Kano,Gwale,Agriculture
20000065191,FCT,Ogun,Ado-Odo/Ota,Mixed
20000065192,Jigawa,Benue,Gboko,Business
20000065193,Taraba,Cross River,Ikom,Freelancing
20000065194,Benue,Osun,Ilesa East,Salary
20000065195,Ondo,Cross River,Ikom,Salary
20000065196,Oyo,Benue,Gboko,Agriculture
20000065197,Ebonyi,Zamfara,Gusau,Salary
20000065198,Cross River,Kano,Fagge,Business
20000065199,Delta,Borno,Maiduguri,Salary
20000065200,Yobe,Bauchi,Azare,Salary
20000065201,Cross River,Taraba,Wukari,Business
20000065202,Niger,Zamfara,Kaura Namoda,Agriculture
20000065203,Gombe,Rivers,Eleme,Salary
20000065204,Benue,Anambra,Nnewi North,Remittance
20000065205,Adamawa,Anambra,Nnewi North,Investment
20000065206,Lagos,Oyo,Oyo East,Salary
20000065207,Oyo,Kaduna,Kaduna North,Agriculture
20000065208,Zamfara,Bauchi,Bauchi,Salary
20000065209,Kaduna,Abia,Umuahia North,Salary
20000065210,Kogi,Kwara,Offa,Salary
20000065211,Edo,Jigawa,Dutse,Contract
20000065212,Cross River,Gombe,Gombe,Agriculture
20000065213,Akwa Ibom,Anambra,Awka South,Salary
20000065214,Edo,Plateau,Jos North,Salary
20000065215,Bauchi,Jigawa,Hadejia,Salary
20000065216,Nasarawa,Anambra,Nnewi North,Freelancing
20000065217,Gombe,Oyo,Ogbomosho North,Salary
20000065218,Imo,Niger,Bida,Business
20000065219,Rivers,Kaduna,Kaduna South,Remittance
20000065220,Katsina,Nasarawa,Lafia,Business
20000065221,Bauchi,Abia,Aba South,Agriculture
20000065222,Oyo,Niger,Minna,Salary
20000065223,Zamfara,Yobe,Damaturu,Business
20000065224,Cross River,Katsina,Daura,Salary
20000065225,Kogi,Bauchi,Bauchi,Agriculture
20000065226,Enugu,Oyo,Ibadan South-West,Agriculture
20000065227,Taraba,Rivers,Obio-Akpor,Contract
20000065228,Adamawa,Kano,Fagge,Salary
20000065229,Ondo,Bauchi,Bauchi,Freelancing
20000065230,Plateau,Borno,Maiduguri,Freelancing
20000065231,Gombe,Kaduna,Kaduna South,Salary
20000065232,Yobe,Lagos,Alimosho,Business
20000065233,Gombe,Delta,Warri South,Remittance
20000065234,Lagos,Kaduna,Kaduna North,Investment
20000065235,FCT,Akwa Ibom,Eket,Business
20000065236,Sokoto,Abia,Aba South,Salary
20000065237,Delta,Sokoto,Tambuwal,Freelancing
20000065238,Enugu,Niger,Minna,Mixed
20000065239,Bauchi,Kebbi,Birnin Kebbi,Salary
20000065240,Zamfara,Taraba,Jalingo,Business
20000065241,Oyo,Rivers,Port Harcourt,Business
20000065242,Adamawa,Enugu,Nsukka,Business
20000065243,Borno,Niger,Minna,Business
20000065244,Katsina,Oyo,Oyo East,Salary
20000065245,Adamawa,Rivers,Okrika,Salary
20000065246,Ogun,Borno,Maiduguri,Freelancing
20000065247,Yobe,Imo,Owerri Municipal,Freelancing
20000065248,Yobe,Ebonyi,Abakaliki,Business
20000065249,Abia,Sokoto,Tambuwal,Remittance
20000065250,Niger,Yobe,Potiskum,Salary
20000065251,Bauchi,Kano,Fagge,Freelancing
20000065252,Niger,Adamawa,Mubi North,Business
20000065253,Oyo,Akwa Ibom,Eket,Business
20000065254,Borno,Cross River,Calabar Municipal,Agriculture
20000065255,Adamawa,Rivers,Okrika,Agriculture
20000065256,Bauchi,Anambra,Onitsha North,Agriculture
20000065257,Bayelsa,Edo,Oredo,Salary
20000065258,Ekiti,Kogi,Lokoja,Remittance
20000065259,Anambra,Kebbi,Argungu,Business
20000065260,Ekiti,Delta,Udu,Business
20000065261,Jigawa,Bayelsa,Ogbia,Business
20000065262,Ogun,Kaduna,Zaria,Remittance
20000065263,Bayelsa,Anambra,Onitsha North,Agriculture
20000065264,Osun,Kano,Fagge,Salary
20000065265,Yobe,Ogun,Ijebu Ode,Agriculture
20000065266,Bauchi,Akwa Ibom,Eket,Freelancing
20000065267,Katsina,Bauchi,Azare,Business
20000065268,Bauchi,Zamfara,Gusau,Salary
20000065269,Kaduna,Cross River,Ikom,Mixed
20000065270,Enugu,Zamfara,Gusau,Freelancing
20000065271,Cross River,Lagos,Yaba,Agriculture
20000065272,Gombe,Sokoto,Sokoto North,Salary
20000065273,Ekiti,Nasarawa,Lafia,Salary
20000065274,Benue,Edo,Oredo,Contract
20000065275,Borno,Nasarawa,Lafia,Agriculture
20000065276,Bayelsa,Niger,Suleja,Salary
20000065277,Delta,Sokoto,Sokoto North,Agriculture
20000065278,Yobe,Borno,Biu,Agriculture
20000065279,Rivers,Kebbi,Birnin Kebbi,Salary
20000065280,Ogun,Ebonyi,Afikpo North,Contract
20000065281,Abia,Nasarawa,Keffi,Mixed
20000065282,Adamawa,Cross River,Calabar Municipal,Salary
20000065283,Osun,Abia,Umuahia North,Business
20000065284,Bayelsa,Taraba,Wukari,Agriculture
20000065285,Nasarawa,Kano,Nassarawa,Freelancing
20000065286,Abia,Benue,Otukpo,Business
20000065287,Ogun,Kogi,Okene,Salary
20000065288,Kwara,Enugu,Enugu South,Agriculture
20000065289,Ekiti,Katsina,Daura,Business
20000065290,Yobe,Osun,Ilesa East,Informal
20000065291,Nasarawa,Kano,Tarauni,Salary
20000065292,Nasarawa,Nasarawa,Keffi,Agriculture
20000065293,Abia,Kano,Tarauni,Informal
20000065294,Anambra,Yobe,Damaturu,Business
20000065295,Delta,Rivers,Port Harcourt,Salary
20000065296,Oyo,Kogi,Lokoja,Contract
20000065297,Borno,Delta,Warri South,Agriculture
20000065298,Taraba,Kano,Tarauni,Salary
20000065299,Ekiti,Lagos,Eti-Osa,Freelancing
20000065300,Anambra,Osun,Osogbo,Investment
20000065301,Kaduna,Borno,Biu,Salary
20000065302,Bayelsa,Adamawa,Yola North,Business
20000065303,Akwa Ibom,Osun,Ife Central,Investment
20000065304,Benue,Lagos,Ikeja,Salary
20000065305,Kogi,Anambra,Nnewi North,Business
20000065306,Taraba,Plateau,Barkin Ladi,Salary
20000065307,Kaduna,Sokoto,Tambuwal,Investment
20000065308,Borno,Kebbi,Birnin Kebbi,Remittance
20000065309,Yobe,Anambra,Nnewi North,Salary
20000065310,Gombe,Niger,Minna,Agriculture
20000065311,Ondo,Kaduna,Kaduna South,Freelancing
20000065312,Akwa Ibom,Nasarawa,Lafia,Remittance
20000065313,FCT,Kebbi,Birnin Kebbi,Contract
20000065314,Kogi,Bauchi,Bauchi,Agriculture
20000065315,Nasarawa,Enugu,Nsukka,Mixed
20000065316,Ogun,Ekiti,Oye,Salary
20000065317,Nasarawa,Ondo,Akure South,Salary
20000065318,Gombe,Enugu,Enugu South,Business
20000065319,Lagos,Borno,Biu,Agriculture
20000065320,Adamawa,Gombe,Gombe,Salary
20000065321,Lagos,Cross River,Ikom,Business
20000065322,Kwara,Kano,Nassarawa,Business
20000065323,Yobe,Borno,Biu,Salary
20000065324,Rivers,Adamawa,Yola North,Freelancing
20000065325,Edo,Niger,Bida,Remittance
20000065326,Borno,Jigawa,Hadejia,Freelancing
20000065327,FCT,Bayelsa,Yenagoa,Agriculture
20000065328,Plateau,FCT,Kuje,Salary
20000065329,Osun,Kaduna,Kaduna North,Salary
20000065330,Jigawa,Kano,Tarauni,Agriculture
20000065331,Delta,Ebonyi,Afikpo North,Salary
20000065332,Kwara,Jigawa,Dutse,Salary
20000065333,Osun,Akwa Ibom,Uyo,Agriculture
20000065334,Katsina,Oyo,Ibadan North,Freelancing
20000065335,Yobe,Zamfara,Gusau,Business
20000065336,Kaduna,Kaduna,Zaria,Salary
20000065337,Ekiti,Sokoto,Tambuwal,Salary
20000065338,Nasarawa,Rivers,Okrika,Business
20000065339,Oyo,Kwara,Ilorin East,Freelancing
20000065340,Anambra,Kwara,Offa,Investment
20000065341,Kwara,Kwara,Ilorin East,Business
20000065342,Ogun,Zamfara,Kaura Namoda,Salary
20000065343,Delta,Ondo,Ondo West,Agriculture
20000065344,Bayelsa,Benue,Gboko,Salary
20000065345,Enugu,Oyo,Ibadan North,Business
20000065346,Borno,Benue,Gboko,Agriculture
20000065347,Oyo,Kwara,Offa,Salary
20000065348,Benue,Sokoto,Sokoto North,Salary
20000065349,Adamawa,Ondo,Owo,Business
20000065350,Edo,Oyo,Oyo East,Salary
20000065351,Borno,Abia,Umuahia North,Freelancing
20000065352,Rivers,Enugu,Nsukka,Salary
20000065353,Kwara,Ondo,Akure South,Agriculture
20000065354,Borno,Borno,Biu,Agriculture
20000065355,Jigawa,FCT,Bwari,Salary
20000065356,Cross River,Kebbi,Birnin Kebbi,Salary
20000065357,Abia,Benue,Makurdi,Salary
20000065358,Imo,Ekiti,Ikere,Business
20000065359,Borno,Ebonyi,Afikpo North,Business
20000065360,Enugu,Kogi,Lokoja,Business
20000065361,Abia,Katsina,Katsina,Business
20000065362,Benue,Gombe,Kaltungo,Salary
20000065363,Benue,Kano,Tarauni,Salary
20000065364,Borno,Yobe,Damaturu,Salary
20000065365,Delta,Kebbi,Argungu,Business
20000065366,Imo,Bayelsa,Ogbia,Agriculture
20000065367,Niger,Jigawa,Hadejia,Salary
20000065368,Cross River,Cross River,Calabar Municipal,Agriculture
20000065369,Bayelsa,Kaduna,Kaduna South,Agriculture
20000065370,Ebonyi,Edo,Oredo,Salary
20000065371,Taraba,Zamfara,Gusau,Salary
20000065372,Delta,Katsina,Katsina,Business
20000065373,Kwara,Rivers,Eleme,Salary
20000065374,Gombe,Ebonyi,Afikpo North,Agriculture
20000065375,Rivers,Abia,Umuahia North,Salary
20000065376,Nasarawa,Adamawa,Yola North,Salary
20000065377,Kebbi,Kano,Nassarawa,Remittance
20000065378,Bayelsa,Gombe,Kaltungo,Salary
20000065379,Cross River,Ebonyi,Afikpo North,Salary
20000065380,Adamawa,Kano,Nassarawa,Business
20000065381,Bauchi,Rivers,Okrika,Agriculture
20000065382,Abia,Bauchi,Bauchi,Salary
20000065383,Bayelsa,Ebonyi,Abakaliki,Salary
20000065384,Cross River,Ekiti,Oye,Investment
20000065385,Borno,Osun,Osogbo,Business
20000065386,Anambra,Cross River,Calabar Municipal,Business
20000065387,Plateau,Abia,Aba South,Salary
20000065388,Nasarawa,Borno,Biu,Salary
20000065389,Kogi,Kano,Tarauni,Salary
20000065390,Borno,Ekiti,Oye,Business
20000065391,Oyo,Niger,Minna,Salary
20000065392,Enugu,Ekiti,Ikere,Freelancing
20000065393,Ekiti,Edo,Oredo,Salary
20000065394,Enugu,Bayelsa,Yenagoa,Remittance
20000065395,Ebonyi,Kano,Fagge,Salary
20000065396,Ondo,Gombe,Gombe,Salary
20000065397,FCT,Yobe,Potiskum,Agriculture
20000065398,Anambra,Kwara,Offa,Salary
20000065399,Cross River,Jigawa,Hadejia,Agriculture
20000065400,Jigawa,Jigawa,Dutse,Business
20000065401,Rivers,Anambra,Awka South,Business
20000065402,Kaduna,Enugu,Enugu North,Business
20000065403,Ogun,Ogun,Ado-Odo/Ota,Agriculture
20000065404,Cross River,Yobe,Damaturu,Freelancing
20000065405,Kebbi,Kaduna,Kaduna North,Business
20000065406,Ogun,Katsina,Daura,Salary
20000065407,Yobe,Abia,Aba South,Agriculture
20000065408,Sokoto,Ogun,Ado-Odo/Ota,Salary
20000065409,Adamawa,Cross River,Ikom,Business
20000065410,Katsina,Jigawa,Hadejia,Agriculture
20000065411,Benue,Oyo,Ibadan South-West,Remittance
20000065412,Katsina,Anambra,Nnewi North,Business
20000065413,Rivers,Osun,Osogbo,Salary
20000065414,Enugu,Taraba,Jalingo,Salary
20000065415,Nasarawa,Adamawa,Mubi North,Business
20000065416,Plateau,Ebonyi,Abakaliki,Contract
20000065417,Taraba,Edo,Ikpoba-Okha,Business
20000065418,Ogun,Adamawa,Mubi North,Business
20000065419,Rivers,Osun,Ilesa East,Salary
20000065420,Imo,Ebonyi,Afikpo North,Salary
20000065421,Oyo,FCT,Gwagwalada,Contract
20000065422,Ondo,Ondo,Owo,Agriculture
20000065423,Oyo,Plateau,Jos North,Mixed
20000065424,Adamawa,Niger,Bida,Salary
20000065425,Rivers,Ondo,Ondo West,Business
20000065426,Benue,Osun,Ilesa East,Business
20000065427,Imo,Kaduna,Kaduna South,Freelancing
20000065428,Imo,Kwara,Ilorin West,Informal
20000065429,Enugu,Imo,Orlu,Salary
20000065430,Sokoto,Cross River,Ikom,Salary
20000065431,Bayelsa,Osun,Ife Central,Business
20000065432,Katsina,Ogun,Ado-Odo/Ota,Salary
20000065433,Nasarawa,Adamawa,Yola North,Freelancing
20000065434,Anambra,Delta,Oshimili South,Business
20000065435,Kogi,Katsina,Daura,Informal
20000065436,Kaduna,Ondo,Akure South,Salary
20000065437,Yobe,Rivers,Obio-Akpor,Salary
20000065438,Enugu,Bauchi,Azare,Business
20000065439,Sokoto,Akwa Ibom,Uyo,Remittance
20000065440,Edo,Cross River,Ikom,Salary
20000065441,Lagos,Gombe,Kaltungo,Business
20000065442,Bayelsa,Zamfara,Kaura Namoda,Salary
20000065443,Kebbi,Yobe,Potiskum,Business
20000065444,Yobe,Oyo,Ogbomosho North,Business
20000065445,Abia,Rivers,Port Harcourt,Freelancing
20000065446,Jigawa,Lagos,Eti-Osa,Freelancing
20000065447,Adamawa,Enugu,Enugu South,Agriculture
20000065448,Imo,Taraba,Jalingo,Remittance
20000065449,Kogi,Benue,Makurdi,Business
20000065450,Delta,Nasarawa,Lafia,Mixed
20000065451,Niger,Kano,Tarauni,Agriculture
20000065452,Kebbi,Lagos,Alimosho,Agriculture
20000065453,Kebbi,Kwara,Ilorin West,Agriculture
20000065454,FCT,Plateau,Barkin Ladi,Salary
20000065455,Zamfara,Bauchi,Azare,Salary
20000065456,Delta,Kogi,Lokoja,Freelancing
20000065457,Borno,Kaduna,Kafanchan,Agriculture
20000065458,Bauchi,Kebbi,Birnin Kebbi,Business
20000065459,Ogun,Bauchi,Bauchi,Freelancing
20000065460,Osun,Borno,Maiduguri,Business
20000065461,Ebonyi,Taraba,Wukari,Agriculture
20000065462,Ondo,Ondo,Ondo West,Mixed
20000065463,Katsina,Katsina,Katsina,Investment
20000065464,Kano,Taraba,Jalingo,Contract
20000065465,Ebonyi,Ondo,Akure South,Agriculture
20000065466,Oyo,Plateau,Jos North,Business
20000065467,Cross River,Kwara,Ilorin East,Agriculture
20000065468,Kebbi,Borno,Biu,Agriculture
20000065469,Nasarawa,Bauchi,Azare,Salary
20000065470,Oyo,Taraba,Jalingo,Salary
20000065471,Ekiti,Katsina,Katsina,Agriculture
20000065472,Cross River,Bayelsa,Yenagoa,Business
20000065473,Enugu,Niger,Minna,Contract
20000065474,Niger,Anambra,Onitsha North,Salary
20000065475,Ondo,Plateau,Barkin Ladi,Business
20000065476,Delta,Kwara,Offa,Business
20000065477,FCT,Ogun,Sagamu,Business
20000065478,Kano,Edo,Ikpoba-Okha,Business
20000065479,Adamawa,Adamawa,Yola North,Salary
20000065480,Abia,Osun,Osogbo,Agriculture
20000065481,Kogi,Enugu,Enugu North,Business
20000065482,Gombe,Kwara,Ilorin East,Salary
20000065483,Oyo,Gombe,Kaltungo,Freelancing
20000065484,Sokoto,Akwa Ibom,Uyo,Salary
20000065485,Yobe,Kebbi,Argungu,Business
20000065486,Edo,Cross River,Ikom,Salary
20000065487,Niger,Nasarawa,Keffi,Business
20000065488,Sokoto,Ondo,Owo,Contract
20000065489,Plateau,Ekiti,Ikere,Investment
20000065490,Zamfara,Ebonyi,Abakaliki,Freelancing
20000065491,Kaduna,Sokoto,Sokoto North,Business
20000065492,Plateau,Kaduna,Kaduna South,Salary
20000065493,Jigawa,Ogun,Ijebu Ode,Business
20000065494,Cross River,Rivers,Port Harcourt,Salary
20000065495,FCT,Jigawa,Hadejia,Agriculture
20000065496,Zamfara,Enugu,Nsukka,Business
20000065497,Akwa Ibom,Jigawa,Hadejia,Freelancing
20000065498,Nasarawa,Edo,Ikpoba-Okha,Agriculture
20000065499,Lagos,Enugu,Enugu North,Business
20000065500,Kogi,Kogi,Lokoja,Business
20000065501,Jigawa,Ondo,Akure South,Agriculture
20000065502,Edo,Ebonyi,Afikpo North,Agriculture
20000065503,Ebonyi,Delta,Warri South,Freelancing
20000065504,Oyo,Kebbi,Birnin Kebbi,Business
20000065505,Bauchi,Kebbi,Birnin Kebbi,Salary
20000065506,Lagos,Bayelsa,Yenagoa,Contract
20000065507,Enugu,Nasarawa,Keffi,Contract
20000065508,Kogi,Kaduna,Kaduna South,Remittance
20000065509,Imo,Lagos,Eti-Osa,Business
20000065510,Abia,Zamfara,Gusau,Freelancing
20000065511,Niger,Ebonyi,Abakaliki,Agriculture
20000065512,Osun,Ebonyi,Abakaliki,Salary
20000065513,Osun,Anambra,Onitsha North,Remittance
20000065514,Oyo,Jigawa,Dutse,Business
20000065515,Ekiti,Oyo,Oyo East,Salary
20000065516,Kebbi,FCT,Kuje,Freelancing
20000065517,Zamfara,Niger,Bida,Business
20000065518,Rivers,Kogi,Okene,Freelancing
20000065519,Kaduna,Adamawa,Mubi North,Salary
20000065520,Benue,Ondo,Akure South,Salary
20000065521,Kano,Enugu,Enugu South,Salary
20000065522,Borno,Edo,Ikpoba-Okha,Salary
20000065523,Akwa Ibom,Borno,Biu,Salary
20000065524,Edo,Borno,Maiduguri,Salary
20000065525,Gombe,Katsina,Katsina,Freelancing
20000065526,Benue,Ondo,Ondo West,Salary
20000065527,Kebbi,Nasarawa,Lafia,Business
20000065528,Edo,Borno,Biu,Freelancing
20000065529,Taraba,Taraba,Wukari,Agriculture
20000065530,Ondo,Kwara,Ilorin East,Business
20000065531,Gombe,Borno,Maiduguri,Business
20000065532,Adamawa,Kaduna,Kafanchan,Remittance
20000065533,Kebbi,Bayelsa,Ogbia,Salary
20000065534,Lagos,Bauchi,Azare,Salary
20000065535,Anambra,Bayelsa,Ogbia,Agriculture
20000065536,Niger,Edo,Egor,Salary
20000065537,Benue,Adamawa,Yola North,Salary
20000065538,Kano,Yobe,Damaturu,Business
20000065539,Imo,Kano,Nassarawa,Agriculture
20000065540,Yobe,Bauchi,Bauchi,Contract
20000065541,Yobe,Benue,Otukpo,Salary
20000065542,Cross River,Kano,Gwale,Investment
20000065543,Kano,Adamawa,Mubi North,Salary
20000065544,Kogi,Kebbi,Argungu,Remittance
20000065545,Zamfara,Enugu,Nsukka,Salary
20000065546,Edo,Zamfara,Kaura Namoda,Salary
20000065547,Ogun,Cross River,Ikom,Remittance
20000065548,Delta,Enugu,Enugu North,Agriculture
20000065549,Adamawa,Nasarawa,Lafia,Salary
20000065550,Kogi,Delta,Warri South,Salary
20000065551,Enugu,Borno,Biu,Business
20000065552,Niger,Enugu,Enugu North,Business
20000065553,Akwa Ibom,Kogi,Okene,Salary
20000065554,Kano,Kano,Nassarawa,Agriculture
20000065555,Osun,Ondo,Ondo West,Freelancing
20000065556,Katsina,Kaduna,Kaduna North,Agriculture
20000065557,Bayelsa,Gombe,Kaltungo,Contract
20000065558,Nasarawa,Adamawa,Mubi North,Salary
20000065559,Gombe,Nasarawa,Lafia,Business
20000065560,Bayelsa,Enugu,Nsukka,Agriculture
20000065561,Plateau,Edo,Ikpoba-Okha,Mixed
20000065562,Cross River,Cross River,Ikom,Business
20000065563,Kebbi,Zamfara,Kaura Namoda,Remittance
20000065564,Kebbi,Ebonyi,Afikpo North,Business
20000065565,Kano,Cross River,Ikom,Investment
20000065566,Rivers,Oyo,Ogbomosho North,Freelancing
20000065567,Plateau,Ebonyi,Afikpo North,Agriculture
20000065568,Adamawa,Kaduna,Kaduna South,Freelancing
20000065569,Imo,Enugu,Enugu North,Freelancing
20000065570,Delta,Kogi,Lokoja,Salary
20000065571,Yobe,Kogi,Okene,Mixed
20000065572,Kano,Anambra,Awka South,Mixed
20000065573,Taraba,Edo,Egor,Salary
20000065574,Bauchi,Gombe,Kaltungo,Freelancing
20000065575,FCT,Kaduna,Kafanchan,Agriculture
20000065576,Kebbi,Imo,Owerri Municipal,Salary
20000065577,Niger,FCT,Gwagwalada,Salary
20000065578,Katsina,Abia,Aba South,Salary
20000065579,Gombe,Rivers,Obio-Akpor,Freelancing
20000065580,Gombe,Osun,Osogbo,Salary
20000065581,Osun,Niger,Suleja,Salary
20000065582,Kwara,Edo,Egor,Salary
20000065583,Edo,Ogun,Abeokuta South,Salary
20000065584,Kebbi,Oyo,Ogbomosho North,Salary
20000065585,Ekiti,Abia,Aba South,Business
20000065586,Kano,Katsina,Katsina,Business
20000065587,Imo,Yobe,Damaturu,Business
20000065588,Delta,Kano,Tarauni,Business
20000065589,Imo,Nasarawa,Keffi,Salary
20000065590,Katsina,Taraba,Wukari,Contract
20000065591,Akwa Ibom,Benue,Gboko,Agriculture
20000065592,Benue,Niger,Bida,Freelancing
20000065593,Plateau,Kebbi,Argungu,Salary
20000065594,Enugu,Yobe,Damaturu,Business
20000065595,Enugu,Enugu,Nsukka,Business
20000065596,Zamfara,Anambra,Onitsha North,Freelancing
20000065597,Delta,Ebonyi,Abakaliki,Salary
20000065598,Taraba,Ekiti,Oye,Agriculture
20000065599,Niger,Nasarawa,Lafia,Agriculture
20000065600,Abia,Anambra,Nnewi North,Salary
20000065601,Anambra,Abia,Umuahia North,Salary
20000065602,Zamfara,FCT,Abuja Municipal,Contract
20000065603,Rivers,Jigawa,Dutse,Business
20000065604,Taraba,Osun,Osogbo,Investment
20000065605,Jigawa,Benue,Makurdi,Remittance
20000065606,Borno,Bayelsa,Yenagoa,Salary
20000065607,Kano,Cross River,Ikom,Freelancing
20000065608,Kebbi,Adamawa,Mubi North,Salary
20000065609,Rivers,Borno,Biu,Contract
20000065610,Niger,Rivers,Okrika,Agriculture
20000065611,Kebbi,Rivers,Okrika,Business
20000065612,Ogun,Abia,Aba South,Contract
20000065613,Imo,Zamfara,Kaura Namoda,Agriculture
20000065614,Akwa Ibom,Plateau,Jos North,Agriculture
20000065615,Ondo,Kebbi,Argungu,Remittance
20000065616,Adamawa,Rivers,Okrika,Freelancing
20000065617,Bayelsa,Bauchi,Bauchi,Agriculture
20000065618,Edo,Gombe,Gombe,Contract
20000065619,Benue,Borno,Maiduguri,Business
20000065620,Enugu,Delta,Warri South,Informal
20000065621,Kogi,Enugu,Enugu South,Freelancing
20000065622,Delta,Zamfara,Gusau,Informal
20000065623,Rivers,Yobe,Potiskum,Freelancing
20000065624,FCT,Kwara,Offa,Agriculture
20000065625,Bayelsa,Abia,Umuahia North,Business
20000065626,Kwara,Kano,Nassarawa,Salary
20000065627,Adamawa,Kano,Gwale,Investment
20000065628,Imo,Edo,Egor,Business
20000065629,Ebonyi,Zamfara,Kaura Namoda,Agriculture
20000065630,Lagos,Delta,Udu,Freelancing
20000065631,Borno,Delta,Udu,Salary
20000065632,FCT,Zamfara,Kaura Namoda,Contract
20000065633,Ekiti,Akwa Ibom,Eket,Business
20000065634,Gombe,Benue,Gboko,Freelancing
20000065635,Taraba,Sokoto,Sokoto North,Business
20000065636,Kaduna,Kaduna,Kafanchan,Freelancing
20000065637,Kebbi,Plateau,Jos North,Agriculture
20000065638,Kogi,Ogun,Abeokuta South,Investment
20000065639,Lagos,Kebbi,Argungu,Salary
20000065640,Plateau,Sokoto,Tambuwal,Freelancing
20000065641,Bauchi,Gombe,Kaltungo,Agriculture
20000065642,Yobe,Edo,Ikpoba-Okha,Agriculture
20000065643,Abia,Plateau,Barkin Ladi,Business
20000065644,Cross River,Akwa Ibom,Eket,Salary
20000065645,Borno,Enugu,Nsukka,Investment
20000065646,Sokoto,Nasarawa,Keffi,Salary
20000065647,Enugu,FCT,Abuja Municipal,Salary
20000065648,Cross River,FCT,Bwari,Freelancing
20000065649,Kaduna,Akwa Ibom,Uyo,Business
20000065650,Anambra,Kebbi,Argungu,Business
20000065651,Kebbi,Kwara,Ilorin East,Informal
20000065652,Bayelsa,Rivers,Eleme,Agriculture
20000065653,Bayelsa,Kebbi,Argungu,Freelancing
20000065654,Katsina,Imo,Orlu,Business
20000065655,Gombe,Katsina,Daura,Contract
20000065656,Akwa Ibom,Rivers,Eleme,Salary
20000065657,Yobe,Imo,Owerri Municipal,Informal
20000065658,Taraba,Plateau,Jos South,Salary
20000065659,Imo,Kaduna,Zaria,Remittance
20000065660,Yobe,Taraba,Wukari,Contract
20000065661,Benue,Bauchi,Azare,Contract
20000065662,Kaduna,Sokoto,Tambuwal,Remittance
20000065663,Kogi,Kebbi,Argungu,Agriculture
20000065664,Lagos,Osun,Osogbo,Agriculture
20000065665,Plateau,Kano,Tarauni,Remittance
20000065666,Adamawa,Gombe,Gombe,Investment
20000065667,Nasarawa,Borno,Biu,Salary
20000065668,Plateau,Sokoto,Tambuwal,Freelancing
20000065669,Imo,Ondo,Ondo West,Salary
20000065670,Niger,Bayelsa,Ogbia,Freelancing
20000065671,Edo,Cross River,Ikom,Salary
20000065672,Kaduna,Rivers,Obio-Akpor,Investment
20000065673,Ondo,Kano,Fagge,Contract
20000065674,Jigawa,Jigawa,Dutse,Freelancing
20000065675,Benue,Cross River,Calabar Municipal,Salary
20000065676,Delta,Delta,Udu,Salary
20000065677,Niger,Nasarawa,Keffi,Business
20000065678,Rivers,Osun,Ife Central,Contract
20000065679,Kebbi,Anambra,Onitsha North,Freelancing
20000065680,Niger,Kebbi,Argungu,Business
20000065681,Niger,Kogi,Okene,Salary
20000065682,Rivers,Akwa Ibom,Eket,Business
20000065683,Delta,Rivers,Obio-Akpor,Business
20000065684,Anambra,Bayelsa,Ogbia,Business
20000065685,Yobe,Lagos,Alimosho,Business
20000065686,Adamawa,Taraba,Wukari,Business
20000065687,Lagos,Osun,Osogbo,Business
20000065688,Abia,Akwa Ibom,Uyo,Salary
20000065689,Imo,Cross River,Ikom,Salary
20000065690,Kwara,Kebbi,Argungu,Contract
20000065691,Oyo,Kogi,Lokoja,Salary
20000065692,FCT,Bayelsa,Ogbia,Investment
20000065693,Nasarawa,Ekiti,Ado-Ekiti,Salary
20000065694,Kano,Oyo,Ibadan North,Investment
20000065695,Zamfara,Yobe,Potiskum,Business
20000065696,Ogun,Adamawa,Mubi North,Salary
20000065697,Osun,Enugu,Enugu South,Business
20000065698,Rivers,Kano,Nassarawa,Contract
20000065699,Sokoto,Borno,Biu,Salary
20000065700,Akwa Ibom,Kebbi,Argungu,Salary
20000065701,Ebonyi,Adamawa,Mubi North,Investment
20000065702,Jigawa,Ekiti,Ado-Ekiti,Investment
20000065703,Borno,Anambra,Awka South,Business
20000065704,Borno,Ondo,Owo,Contract
20000065705,Borno,Zamfara,Kaura Namoda,Salary
20000065706,Niger,Kogi,Lokoja,Contract
20000065707,Gombe,Gombe,Kaltungo,Remittance
20000065708,Sokoto,Oyo,Ibadan North,Business
20000065709,Oyo,Niger,Minna,Business
20000065710,Gombe,Delta,Udu,Business
20000065711,Jigawa,Katsina,Katsina,Contract
20000065712,Ekiti,Enugu,Enugu South,Business
20000065713,Ogun,Lagos,Surulere,Business
20000065714,Kwara,Niger,Bida,Mixed
20000065715,Borno,Kogi,Lokoja,Freelancing
20000065716,Kano,Imo,Orlu,Investment
20000065717,Zamfara,Delta,Oshimili South,Agriculture
20000065718,Katsina,Kaduna,Kafanchan,Salary
20000065719,Osun,Kwara,Ilorin West,Freelancing
20000065720,Borno,Nasarawa,Lafia,Freelancing
20000065721,Sokoto,Kebbi,Argungu,Informal
20000065722,Ekiti,Kwara,Ilorin East,Salary
20000065723,Abia,Yobe,Damaturu,Freelancing
20000065724,Borno,Adamawa,Mubi North,Remittance
